variable,scenario,period,stat,granularity,n_districts,country_value_raw,country_value_conv,description
rx1day,ssp585,2080-2099,mean,district,22,25.47,25.47,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp585,2080-2099,p10,district,22,18.08,18.08,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
rx1day,ssp585,2080-2099,p90,district,22,34.6,34.6,Annual max 1-day precipitation (convective storm / hail proxy; CMIP6 does NOT model hail directly)
tnn,historical,1995-2014,mean,district,22,-19.81,-19.81,Annual minimum of daily minimum temperature (frost severity)
tnn,historical,1995-2014,p10,district,22,-22.89,-22.89,Annual minimum of daily minimum temperature (frost severity)
tnn,historical,1995-2014,p90,district,22,-16.49,-16.49,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2040-2059,mean,district,22,-15.38,-15.38,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2040-2059,p10,district,22,-19.9,-19.9,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2040-2059,p90,district,22,-12.43,-12.43,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2040-2059,mean,district,22,-15.11,-15.11,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2040-2059,p10,district,22,-19.15,-19.15,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2040-2059,p90,district,22,-11.83,-11.83,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2080-2099,mean,district,22,-13.67,-13.67,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2080-2099,p10,district,22,-17.69,-17.69,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp245,2080-2099,p90,district,22,-11.05,-11.05,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2080-2099,mean,district,22,-9.59,-9.59,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2080-2099,p10,district,22,-14.54,-14.54,Annual minimum of daily minimum temperature (frost severity)
tnn,ssp585,2080-2099,p90,district,22,-5.87,-5.87,Annual minimum of daily minimum temperature (frost severity)
fd,historical,1995-2014,mean,district,22,79.11,79.11,Frost days (tmin < 0 C)
fd,historical,1995-2014,p10,district,22,58.55,58.55,Frost days (tmin < 0 C)
fd,historical,1995-2014,p90,district,22,91.99,91.99,Frost days (tmin < 0 C)
fd,ssp245,2040-2059,mean,district,22,61.86,61.86,Frost days (tmin < 0 C)
fd,ssp245,2040-2059,p10,district,22,38.44,38.44,Frost days (tmin < 0 C)
fd,ssp245,2040-2059,p90,district,22,79.08,79.08,Frost days (tmin < 0 C)
fd,ssp585,2040-2059,mean,district,22,55.3,55.3,Frost days (tmin < 0 C)
fd,ssp585,2040-2059,p10,district,22,32.25,32.25,Frost days (tmin < 0 C)
fd,ssp585,2040-2059,p90,district,22,72.55,72.55,Frost days (tmin < 0 C)
fd,ssp245,2080-2099,mean,district,22,51.66,51.66,Frost days (tmin < 0 C)
fd,ssp245,2080-2099,p10,district,22,28.3,28.3,Frost days (tmin < 0 C)
fd,ssp245,2080-2099,p90,district,22,70.25,70.25,Frost days (tmin < 0 C)
fd,ssp585,2080-2099,mean,district,22,28.9,28.9,Frost days (tmin < 0 C)
fd,ssp585,2080-2099,p10,district,22,4.97,4.97,Frost days (tmin < 0 C)
fd,ssp585,2080-2099,p90,district,22,50.09,50.09,Frost days (tmin < 0 C)
gsl,historical,1995-2014,mean,district,22,268.46,268.46,Growing season length
gsl,historical,1995-2014,p10,district,22,259.32,259.32,Growing season length
gsl,historical,1995-2014,p90,district,22,278.97,278.97,Growing season length
gsl,ssp245,2040-2059,mean,district,22,290.19,290.19,Growing season length
gsl,ssp245,2040-2059,p10,district,22,270.94,270.94,Growing season length
gsl,ssp245,2040-2059,p90,district,22,306.22,306.22,Growing season length
gsl,ssp585,2040-2059,mean,district,22,294.59,294.59,Growing season length
gsl,ssp585,2040-2059,p10,district,22,279.25,279.25,Growing season length
gsl,ssp585,2040-2059,p90,district,22,315.11,315.11,Growing season length
gsl,ssp245,2080-2099,mean,district,22,302.09,302.09,Growing season length
gsl,ssp245,2080-2099,p10,district,22,279.61,279.61,Growing season length
gsl,ssp245,2080-2099,p90,district,22,315.24,315.24,Growing season length
gsl,ssp585,2080-2099,mean,district,22,324.71,324.71,Growing season length
gsl,ssp585,2080-2099,p10,district,22,301.91,301.91,Growing season length
gsl,ssp585,2080-2099,p90,district,22,351.16,351.16,Growing season length
