period,scenario,variety,mean,p10,p50,p90,std
2081-2100,rcp45,Muscaris,0.560352,0.18169597536325455,0.6218729913234711,0.9150003790855408,0.25154892
2081-2100,rcp45,Touriga Nacional,0.5590239,0.07918685898184777,0.6083386838436127,0.8914563953876495,0.31171185
2081-2100,rcp45,Bronner,0.4919581,0.13089148402214051,0.5156230032444,0.8606579780578614,0.24795102
2081-2100,rcp45,Solaris,0.4919581,0.13089148402214051,0.5156230032444,0.8606579780578614,0.24795102
2081-2100,rcp45,Aglianico,0.37619144,0.0,0.32500533759593964,0.8516408741474152,0.3235948
2081-2100,rcp45,Garnacha,0.3190798,0.0,0.24375399947166443,0.8516408741474152,0.30433264
2081-2100,rcp45,Carignan,0.3190798,0.0,0.24375399947166443,0.8516408741474152,0.30433264
2081-2100,rcp45,Mourvèdre,0.0011186213,0.0,0.0,0.0,0.013067587
2081-2100,rcp45,Nero d'Avola,0.0,0.0,0.0,0.0,0.0
2021-2040,rcp85,Zweigelt,0.9584078,0.8879411160945893,0.9773266911506653,0.9996434271335601,0.0487131
2021-2040,rcp85,Kékfrankos,0.9584078,0.8879411160945893,0.9773266911506653,0.9996434271335601,0.0487131
2021-2040,rcp85,Cabernet franc,0.9408457,0.8655637979507447,0.9673211872577667,0.9990635752677918,0.079930976
2021-2040,rcp85,Albariño,0.9369001,0.8484967231750489,0.9673485457897186,0.9985130667686463,0.08334143
2021-2040,rcp85,Cabernet Cortis,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
2021-2040,rcp85,Olaszrizling,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
2021-2040,rcp85,Portugieser,0.93545514,0.850689560174942,0.9625674188137054,0.9990979909896851,0.0798297
2021-2040,rcp85,Bianca,0.93193144,0.8571507155895233,0.956771731376648,0.9963902533054352,0.07704573
2021-2040,rcp85,Chardonnay,0.93020034,0.8456148266792297,0.956771731376648,0.9963902533054352,0.079537675
2021-2040,rcp85,Aletta,0.91369945,0.7639451801776886,0.9504303336143494,0.9976419925689697,0.110464364
2021-2040,rcp85,Cserszegi fűszeres,0.90250355,0.8082950592041016,0.9167394638061523,0.9939801037311554,0.08387185
2021-2040,rcp85,Generosa,0.90250355,0.8082950592041016,0.9167394638061523,0.9939801037311554,0.08387185
2021-2040,rcp85,Leányka,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
2021-2040,rcp85,Budai zöld,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
2021-2040,rcp85,Királyleányka,0.90184873,0.7681333482265473,0.931634396314621,0.9936232209205628,0.10500925
2021-2040,rcp85,Szürkebarát,0.89293087,0.7679976284503938,0.9167394638061523,0.9939801037311554,0.10287375
2021-2040,rcp85,Souvignier Gris,0.89293087,0.7679976284503938,0.9167394638061523,0.9939801037311554,0.10287375
