borvidek,variety,n_members,mean,p10,p50,p90,std
Balatonfelvidéki,Müller-Thurgau,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Balatonfelvidéki,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Pinot blanc,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Pinot noir,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Rajnai rizling,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Rizlingszilváni,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Sangiovese,14,0.76785713,0.75,0.75,0.75,0.06681531
Balatonfelvidéki,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Solaris,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Syrah,14,0.7617695,0.75,0.75,0.75,0.07223061
Balatonfelvidéki,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Sárgamuskotály,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Tempranillo,14,0.26854768,0.19503930658102037,0.2511294558644295,0.35973847508430484,0.09361237
Balatonfelvidéki,Touriga Nacional,14,0.0340651,0.0,0.003882751567289233,0.10973846763372426,0.05798889
Balatonfelvidéki,Tramini,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfelvidéki,Verdejo,14,0.76785713,0.75,0.75,0.75,0.06681531
Balatonfelvidéki,Vermentino,14,0.76785713,0.75,0.75,0.75,0.06681531
Balatonfelvidéki,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Balatonfelvidéki,Zéta,14,0.99188316,1.0,1.0,1.0,0.030370599
Balatonfelvidéki,Zöld veltelíni,14,0.98214287,1.0,1.0,1.0,0.06681531
Balatonfüred-Csopaki,Aglianico,14,0.1811785,0.1019289530813694,0.14848998934030533,0.328436040878296,0.094414495
Balatonfüred-Csopaki,Albariño,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Arany sárfehér,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Assyrtiko,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Bianca,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Bronner,14,0.68205804,0.626836496591568,0.6943162679672241,0.7117766439914703,0.03540544
Balatonfüred-Csopaki,Budai zöld,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Cabernet Cortis,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Cabernet franc,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Cabernet sauvignon,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Carignan,14,0.13588388,0.07644671499729157,0.11136749386787415,0.24632702022790914,0.07081087
Balatonfüred-Csopaki,Chardonnay,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Cirfandli,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Cserszegi fűszeres,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Ezerjó,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Fiano,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Furmint,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Garnacha,14,0.13588388,0.07644671499729157,0.11136749386787415,0.24632702022790914,0.07081087
Balatonfüred-Csopaki,Generosa,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Hárslevelű,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Irsai Olivér,14,0.74892217,0.7449886202812195,0.75,0.75,0.0027440519
Balatonfüred-Csopaki,Johanniter,14,0.74892217,0.7449886202812195,0.75,0.75,0.0027440519
Balatonfüred-Csopaki,Juhfark,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Kabar,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Kadarka,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Királyleányka,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Kékfrankos,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Kéknyelű,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Kövérszőlő,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Leányka,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Merlot,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Mourvèdre,14,0.0,0.0,0.0,0.0,0.0
Balatonfüred-Csopaki,Muscaris,14,0.74892217,0.7449886202812195,0.75,0.75,0.0027440519
Balatonfüred-Csopaki,Muscat ottonel,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Balatonfüred-Csopaki,Müller-Thurgau,14,0.74892217,0.7449886202812195,0.75,0.75,0.0027440519
Balatonfüred-Csopaki,Nero d'Avola,14,0.0,0.0,0.0,0.0,0.0
Balatonfüred-Csopaki,Olaszrizling,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Pinot blanc,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Balatonfüred-Csopaki,Pinot noir,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Balatonfüred-Csopaki,Portugieser,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Rajnai rizling,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Balatonfüred-Csopaki,Rizlingszilváni,14,0.74892217,0.7449886202812195,0.75,0.75,0.0027440519
Balatonfüred-Csopaki,Sangiovese,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Sauvignon blanc,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Solaris,14,0.68205804,0.626836496591568,0.6943162679672241,0.7117766439914703,0.03540544
Balatonfüred-Csopaki,Souvignier Gris,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Syrah,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Szürkebarát,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Sárgamuskotály,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Tempranillo,14,0.8449709,0.7685956001281739,0.8151566386222839,0.9817390203475953,0.08888645
Balatonfüred-Csopaki,Touriga Nacional,14,0.5145118,0.43526228666305544,0.4818233251571655,0.6617693543434144,0.09441449
Balatonfüred-Csopaki,Tramini,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Balatonfüred-Csopaki,Verdejo,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Vermentino,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Zweigelt,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Zéta,14,1.0,1.0,1.0,1.0,0.0
Balatonfüred-Csopaki,Zöld veltelíni,14,0.74907607,0.7457045495510102,0.75,0.75,0.0023520335
Bükki,Aglianico,14,0.0,0.0,0.0,0.0,0.0
Bükki,Albariño,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Arany sárfehér,14,0.6831169,0.5068181753158569,0.6909090876579285,0.8677272379398346,0.16835114
Bükki,Assyrtiko,14,0.15952636,0.08196607902646065,0.1538560539484024,0.2103524759411812,0.096654475
Bükki,Bianca,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Bronner,14,1.0,1.0,1.0,1.0,0.0
Bükki,Budai zöld,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Cabernet Cortis,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
Bükki,Cabernet franc,14,0.9331633,0.8267857372760773,0.9714285731315613,1.0,0.09324126
