year,borvidek,winkler_gdd,huglin_index,spring_frost_days,last_spring_frost_doy,heat_days_t35,extreme_heat_days_t38,growing_season_precip,hargreaves_pet,p_minus_pet,cool_night_index,borregio
1978,Mátrai,962.9769535064697,1438.3409464385713,20.0,133.0,0.0,0.0,413.4408874511719,712.692148531821,-299.2512610806491,8.586114883422852,Felső-Magyarországi
1978,Móri,951.0426788330078,1391.119304590955,12.0,100.0,0.0,0.0,342.8145446777344,680.1480479284662,-337.33350325073184,9.449265480041504,Felső-Pannon
1978,Nagy-Somlói,1046.1622343063354,1539.740188211877,8.0,97.0,0.0,0.0,399.8293762207031,726.9748522494903,-327.14547602878713,9.429677963256836,Balaton
1978,Neszmélyi,989.0922441482544,1474.6231397959627,15.0,108.0,0.0,0.0,330.34564208984375,717.6582257804689,-387.31258369062516,8.698958396911621,Felső-Pannon
1978,Pannonhalmi,1062.7937278747559,1555.8992855549886,11.0,99.0,0.0,0.0,279.1769104003906,727.3545882748751,-448.1776778744845,9.571341514587402,Felső-Pannon
1978,Pécsi,1150.303282737732,1613.7370077315193,8.0,132.0,0.0,0.0,360.94647216796875,738.2373085405377,-377.29083637256895,10.14673137664795,Pannon
1978,Soproni,1042.3541641235352,1514.292333043613,8.0,132.0,0.0,0.0,386.4266052246094,702.4989354735698,-316.0723302489604,10.098284721374512,Felső-Pannon
1978,Szekszárdi,1207.9332094192505,1728.0048892096383,13.0,133.0,0.0,0.0,354.1460876464844,782.8479636528265,-428.7018760063421,9.91626262664795,Pannon
1978,Tokaji,1044.5188789367676,1475.2999150819692,14.0,133.0,0.0,0.0,441.1554260253906,674.0456796181325,-232.89025359274183,8.693872451782227,Tokaj
1978,Tolnai,1151.5324783325195,1649.0405575469629,9.0,97.0,0.0,0.0,394.8164978027344,754.5938969577973,-359.7773991550629,9.816378593444824,Pannon
1978,Villányi,1189.320086479187,1670.081549725745,11.0,133.0,0.0,0.0,348.62335205078125,757.1231663086347,-408.4998142578535,10.378556251525879,Pannon
1978,Zalai,1043.9239101409912,1533.018668615998,9.0,132.0,0.0,0.0,475.3434143066406,721.8608089192919,-246.5173946126513,8.962213516235352,Balaton
1979,Badacsonyi,1159.8184089660645,1617.6825831442202,10.0,110.0,0.0,0.0,408.2398376464844,711.3281576176286,-303.0883199711442,9.7461576461792,Balaton
1979,Balatonboglári,1311.270694732666,1821.7745260410118,9.0,110.0,0.0,0.0,422.5823669433594,765.4945785779735,-342.9122116346141,9.800027847290039,Balaton
1979,Balatonfelvidéki,1214.5320711135864,1675.3115728615248,8.0,110.0,0.0,0.0,439.5046081542969,716.1740892676895,-276.66948111339264,9.983016014099121,Balaton
1979,Balatonfüred-Csopaki,1358.4592561721802,1846.7144810869038,6.0,84.0,0.0,0.0,352.147216796875,744.6449376705299,-392.4977208736549,10.469858169555664,Balaton
1979,Bükki,1216.5828819274902,1706.2261364746066,12.0,109.0,0.0,0.0,368.2880859375,719.2106348121438,-350.9225488746438,10.458269119262695,Felső-Magyarországi
1979,Csongrádi,1475.160488128662,2025.6041291969614,10.0,110.0,1.0,0.0,271.5388488769531,815.6794845732758,-544.1406356963226,10.73900318145752,Duna
1979,Egri,1283.7746391296387,1812.3275159260359,11.0,109.0,0.0,0.0,347.2740783691406,757.9941661960495,-410.72008782690887,10.30235481262207,Felső-Magyarországi
1979,Etyek-Budai,1341.03102684021,1876.8262086926889,9.0,110.0,0.0,0.0,264.81573486328125,773.1867548506809,-508.3710199873997,10.200498580932617,Felső-Pannon
1979,Hajós-Bajai,1416.4622116088867,1988.4715781573614,11.0,111.0,0.0,0.0,301.6595153808594,829.1021539347423,-527.442638553883,10.053140640258789,Duna
1979,Kunsági,1413.1991939544678,1975.7000144558383,10.0,110.0,0.0,0.0,278.7057800292969,810.5195049429749,-531.813724913678,10.28109359741211,Duna
1979,Mátrai,1249.9793796539307,1792.4757734758514,18.0,111.0,0.0,0.0,311.7096862792969,769.8923806733188,-458.18269439402195,10.03223991394043,Felső-Magyarországi
1979,Móri,1170.09153175354,1654.481327014327,14.0,110.0,0.0,0.0,268.0312194824219,724.5437691984856,-456.51254971606375,9.788928985595703,Felső-Pannon
1979,Nagy-Somlói,1222.0832271575928,1732.0787184687308,12.0,124.0,0.0,0.0,425.58441162109375,753.1800512184088,-327.5956395973151,9.614760398864746,Balaton
1979,Neszmélyi,1211.9173707962036,1737.2275203465197,14.0,110.0,0.0,0.0,304.671875,757.3704106516301,-452.6985356516301,9.521343231201172,Felső-Pannon
1979,Pannonhalmi,1242.4653902053833,1757.2457941767773,13.0,110.0,0.0,0.0,352.4241638183594,755.3352777672221,-402.91111394886275,9.692914009094238,Felső-Pannon
1979,Pécsi,1351.9528102874756,1854.29462697093,9.0,110.0,0.0,0.0,313.9800720214844,778.1121673492614,-464.13209532777705,10.844317436218262,Pannon
1979,Soproni,1189.085397720337,1669.5176873201115,9.0,124.0,0.0,0.0,502.0562744140625,718.5476079901922,-216.4913335761297,10.154297828674316,Felső-Pannon
1979,Szekszárdi,1425.5498914718628,1995.407028897527,12.0,111.0,0.0,0.0,352.44012451171875,826.4644736277803,-474.02434911606156,10.212386131286621,Pannon
1979,Tokaji,1313.4693717956543,1819.059105286072,7.0,84.0,0.0,0.0,322.2549743652344,730.4783381192105,-408.2233637539762,10.663052558898926,Tokaj
1979,Tolnai,1364.5041780471802,1913.873210073835,8.0,110.0,0.0,0.0,349.501708984375,799.6247482836999,-450.1230392993249,10.033778190612793,Pannon
1979,Villányi,1368.3067722320557,1890.1481361144758,11.0,111.0,0.0,0.0,310.7633361816406,795.3661255630489,-484.60278938140823,10.782556533813477,Pannon
1979,Zalai,1215.18998336792,1715.4947167124008,11.0,124.0,0.0,0.0,470.3930358886719,747.5735036416511,-277.1804677529792,9.329375267028809,Balaton
