borvidek,horizon_label,period,scenario,emissions_level,rank,variety,variety_en,colour,future_suitability,delta_vs_1991_2020,confidence,limiting_factor,status,huglin_mean,winkler_mean
Kunsági,≈ +60y (2081–2100),2081-2100,rcp45,moderate,3,Garnacha,Grenache,red,1.0,0.778,medium,huglin,new,2616.0,2019.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp45,moderate,4,Syrah,Syrah,red,1.0,0.455,high,huglin,new,2616.0,2019.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp85,high,1,Mourvèdre,Mourvèdre / Monastrell,red,0.642,0.601,medium,heat,new,2918.0,2378.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp85,high,2,Nero d'Avola,Nero d'Avola,red,0.642,0.601,medium,heat,new,2918.0,2378.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp85,high,3,Garnacha,Grenache,red,0.642,0.419,medium,heat,new,2918.0,2378.0
Kunsági,≈ +60y (2081–2100),2081-2100,rcp85,high,4,Assyrtiko,Assyrtiko,white,0.642,0.278,medium,heat,new,2918.0,2378.0
Mátrai,Near term (2021–2040),2021-2040,rcp45,moderate,1,Pinot blanc,Pinot Blanc,white,0.939,-0.028,high,frost,new,2202.0,1600.0
Mátrai,Near term (2021–2040),2021-2040,rcp45,moderate,2,Zöld veltelíni,Grüner Veltliner,white,0.939,-0.028,high,frost,new,2202.0,1600.0
Mátrai,Near term (2021–2040),2021-2040,rcp45,moderate,3,Kékfrankos,Blaufränkisch,red,0.939,-0.028,high,frost,new,2202.0,1600.0
Mátrai,Near term (2021–2040),2021-2040,rcp45,moderate,4,Zweigelt,Zweigelt,red,0.939,-0.028,high,frost,new,2202.0,1600.0
Mátrai,Near term (2021–2040),2021-2040,rcp85,high,1,Rajnai rizling,Riesling,white,1.0,0.033,high,huglin,new,2145.0,1565.0
Mátrai,Near term (2021–2040),2021-2040,rcp85,high,2,Rizlingszilváni,Müller-Thurgau,white,1.0,0.033,high,huglin,expand,2145.0,1565.0
Mátrai,Near term (2021–2040),2021-2040,rcp85,high,3,Müller-Thurgau,Müller-Thurgau,white,1.0,0.033,high,huglin,new,2145.0,1565.0
Mátrai,Near term (2021–2040),2021-2040,rcp85,high,4,Tramini,Gewürztraminer,white,1.0,0.033,high,huglin,expand,2145.0,1565.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,1,Kékfrankos,Blaufränkisch,red,1.0,0.033,high,huglin,new,2299.0,1719.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,2,Zweigelt,Zweigelt,red,1.0,0.033,high,huglin,new,2299.0,1719.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,3,Fiano,Fiano,white,0.904,0.612,medium,frost,new,2299.0,1719.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp45,moderate,4,Sangiovese,Sangiovese,red,0.904,0.4,high,frost,new,2299.0,1719.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp85,high,1,Merlot,Merlot,red,1.0,0.691,high,huglin,new,2117.0,1599.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp85,high,2,Furmint,Furmint,white,1.0,0.691,medium,huglin,new,2117.0,1599.0
Mátrai,≈ +20y (2041–2060),2041-2060,rcp85,high,3,Hárslevelű,Harslevelu,white,1.0,0.691,medium,huglin,expand,2117.0,1599.0
